bucket,n,share_of_months,hit_rate,avg_conviction_pp
ALL months,168,1.0,0.6666666666666666,0.3073591311937141
coin-flip (<0.05pp),26,0.15476190476190477,0.46153846153846156,0.0208741926955388
lean (0.05-0.15pp),38,0.2261904761904762,0.6052631578947368,0.09652475257243963
call (0.15-0.30pp),35,0.20833333333333334,0.5714285714285714,0.22406589746518815
high conviction (>0.30pp),69,0.4107142857142857,0.8260869565217391,0.5736718553829806
callable (>=0.05pp),142,0.8452380952380952,0.704225352112676,0.3598141199328166
