month,pred_yoy,pred_delta,hurdle_mom,p_accel,n_errs
2026-09,3.573354377584481,0.27994120393179944,0.39920159680637557,0.7976190476190477,168.0
2026-10,3.627836308443988,0.05448193085950681,0.09940357852884496,0.6190476190476191,168.0
2026-11,3.5353731589628623,-0.09246314948112566,0.19860973187686426,0.44047619047619047,168.0
2026-12,3.354894785016227,-0.18047837394663535,0.09910802775023875,0.34523809523809523,168.0
2027-01,2.742105733038702,-0.6127890519775248,0.5940594059405946,0.11904761904761904,168.0
2027-02,2.9868128576188147,0.24470712458011246,0.5905511811023612,0.8035714285714286,168.0
2027-03,2.870949862860339,-0.1158629947584755,0.1956947162426559,0.39880952380952384,168.0
2027-04,2.843276572248543,-0.02767329061179602,0.390625,0.5297619047619048,168.0
2027-05,2.71411674727271,-0.129159824975833,0.1945525291828787,0.39880952380952384,168.0
2027-06,3.140816198568941,0.42669945129623077,-0.1941747572815511,0.8922155688622755,167.0
2027-07,3.0985720361760283,-0.04224416239291262,0.9727626459143934,0.5120481927710844,166.0
2027-08,2.7741273004179945,-0.3244447357580338,-0.28901734104046506,0.22424242424242424,165.0
