grade,n,share,hit,hit_ex_covid
call,84,0.37333333333333335,0.7857142857142857,0.9090909090909091
lean,111,0.49333333333333335,0.5675675675675675,0.5483870967741935
split,30,0.13333333333333333,0.3,0.3
