horizon,n,ceiling,base_published_share,closed_form_ceiling,model,gap
0,114,0.7368421052631579,1.0,0.75,0.7192982456140351,-0.01754385964912275
1,111,0.7297297297297297,1.0,0.75,0.5675675675675675,-0.16216216216216217
2,108,0.6944444444444444,1.0,0.75,0.5833333333333334,-0.11111111111111105
3,105,0.7428571428571429,1.0,0.75,0.6095238095238096,-0.1333333333333333
4,102,0.7058823529411765,0.0,0.75,0.4803921568627451,-0.2254901960784314
