,shipped,rate_channel,quad_hit_h0,quad_hit_h1,quad_hit_h2,quad_hit_h3,quad_hit_h4,quad_hit_mean,quad_hit_mean_final,growth_dir_h0,growth_dir_h1,growth_dir_h2,growth_dir_h3,growth_dir_h4,growth_dir_h1_4,mae_growth_yoy_mean
trailing_median,False,True,0.6403508771929824,0.35135135135135137,0.3611111111111111,0.3523809523809524,0.29411764705882354,0.3998623878190442,0.436656785046878,0.6491228070175439,0.6216216216216216,0.6111111111111112,0.6571428571428571,0.5490196078431373,0.6097237994296818,1.4457236859477471
potential,True,True,0.6403508771929824,0.3783783783783784,0.3888888888888889,0.3523809523809524,0.2549019607843137,0.4029802115251032,0.4064241154024436,0.6491228070175439,0.5675675675675675,0.5833333333333334,0.580952380952381,0.5098039215686274,0.5604143008554774,1.4811012962251389
nowcast,False,True,0.6403508771929824,0.42342342342342343,0.4074074074074074,0.2857142857142857,0.27450980392156865,0.4062811595319335,0.42496938335947626,0.6491228070175439,0.5765765765765766,0.5740740740740741,0.5428571428571428,0.5882352941176471,0.5704357719063602,2.381489199021298
glide,False,True,0.6403508771929824,0.36036036036036034,0.37037037037037035,0.3142857142857143,0.2549019607843137,0.3880538565987482,0.3951013640796922,0.6491228070175439,0.5585585585585585,0.5370370370370371,0.5428571428571428,0.5098039215686274,0.5370641650053415,1.6719007845281724
