asof,last_print,target_print,pred_yoy,real_yoy,pred_delta,real_delta,hurdle_mom,pred_dir,real_dir,hit,conviction_pp,revision_mode
2017-01-31,2016-12,2017-01,2.4321861155504276,2.5103933482571117,0.3813872040384414,0.45959443674512546,-0.04584435630738959,accelerating,accelerating,True,0.3813872040384414,noise
2017-02-28,2017-01,2017-02,2.7553984128576126,2.8103616813294208,0.24500506460050087,0.2999683330723091,-0.13296753235823022,accelerating,accelerating,True,0.24500506460050087,noise
2017-03-31,2017-02,2017-03,2.519177240865189,2.44119623655914,-0.29118444046423164,-0.3691654447702808,0.31347962382444194,decelerating,decelerating,True,0.29118444046423164,noise
2017-04-30,2017-03,2017-04,2.279717468348297,2.176223471915395,-0.16147876821084317,-0.264972764643745,0.38306451612901693,decelerating,decelerating,True,0.16147876821084317,noise
2017-05-31,2017-04,2017-05,1.9956603200187661,1.8563431667619756,-0.18056315189662886,-0.31988030515341936,0.23640958693178504,decelerating,decelerating,True,0.18056315189662886,noise
2017-06-30,2017-05,2017-06,1.7821831348720174,1.640565809959127,-0.07416003188995823,-0.2157773568028487,0.2775957287827202,decelerating,decelerating,True,0.07416003188995823,noise
2017-07-31,2017-06,2017-07,1.8968293970336836,1.7251073506566073,0.25626358707455665,0.08454154069748032,-0.05037007434789409,accelerating,accelerating,True,0.25626358707455665,noise
2017-08-31,2017-07,2017-08,1.9490041344667475,1.92812155729698,0.22389678381014022,0.20301420664037284,0.18492217858316895,accelerating,accelerating,True,0.22389678381014022,noise
2017-09-30,2017-08,2017-09,2.316719996965988,2.1805652303711787,0.38859843966900787,0.25244367307419857,0.26232097944252075,accelerating,accelerating,True,0.38859843966900787,noise
2017-10-31,2017-09,2017-10,2.0527129686132684,2.020757753132485,-0.1278522617579103,-0.1598074772386937,0.23426874979268764,decelerating,decelerating,True,0.1278522617579103,noise
2017-11-30,2017-10,2017-11,2.2780955357161625,2.172493864295566,0.25733778258367757,0.15173611116308106,0.11789477167711837,accelerating,accelerating,True,0.25733778258367757,noise
2017-12-31,2017-11,2017-12,2.071459011041732,2.129930719552253,-0.1010348532538341,-0.0425631447433128,0.2524522158776188,decelerating,decelerating,True,0.1010348532538341,noise
2018-01-31,2017-12,2018-01,2.0494060714353113,2.151318868063945,-0.08052464811694193,0.021388148511691796,0.4043076694815628,decelerating,accelerating,False,0.08052464811694193,noise
2018-02-28,2018-01,2018-02,2.2318647726182084,2.263468931091861,0.08054590455426336,0.11215006302791597,0.15926573570097524,accelerating,accelerating,True,0.08054590455426336,noise
2018-03-31,2018-02,2018-03,2.3345372028258593,2.3309497646499366,0.07106827173399832,0.06748083355807566,-0.04672016261895173,accelerating,accelerating,True,0.07106827173399832,noise
2018-04-30,2018-03,2018-04,2.5381841686190176,2.4709963021052994,0.207234403969081,0.14004653745536277,0.12341528217407749,accelerating,accelerating,True,0.207234403969081,noise
2018-05-31,2018-04,2018-05,2.8309118082217255,2.781921607842497,0.3599155061164261,0.31092530573719745,-0.07739779600562935,accelerating,accelerating,True,0.3599155061164261,noise
2018-06-30,2018-05,2018-06,3.0005811146434747,2.8075506935940187,0.2186595068009778,0.025629085751521785,0.0651628661825221,accelerating,accelerating,True,0.2186595068009778,noise
2018-07-31,2018-06,2018-07,3.0281137461452,2.854124785561929,0.22056305255118147,0.04657409196791029,0.03276499715354486,accelerating,accelerating,True,0.22056305255118147,noise
2018-08-31,2018-07,2018-08,2.769940812472216,2.6429238568742575,-0.08418397308971315,-0.21120092868767149,0.38486261632881824,decelerating,decelerating,True,0.08418397308971315,noise
2018-09-30,2018-08,2018-09,2.435170891177507,2.332055105808828,-0.20775296569675028,-0.31086875106542955,0.5106389920997767,decelerating,decelerating,True,0.20775296569675028,noise
2018-10-31,2018-09,2018-10,2.6004152348503506,2.492032470218053,0.26836012904152273,0.15997736440922505,0.07750522450138408,accelerating,accelerating,True,0.26836012904152273,noise
2018-11-30,2018-10,2018-11,2.3058581935721856,2.147328577667773,-0.1861742766458674,-0.3447038925502799,0.2668007428251684,decelerating,decelerating,True,0.1861742766458674,noise
2018-12-31,2018-11,2018-12,1.9015233863704628,2.0023809043401064,-0.24580519129731027,-0.14494767332766667,0.21068892447551058,decelerating,decelerating,True,0.24580519129731027,noise
2019-01-31,2018-12,2019-01,1.5927166410679483,1.4875893578291333,-0.4096642632721581,-0.5147915465109731,0.42533443635115464,decelerating,decelerating,True,0.4096642632721581,noise
2019-02-28,2019-01,2019-02,1.4617259293970841,1.5188615351321877,-0.02586342843204914,0.03127217730305443,0.26922876006090224,decelerating,accelerating,False,0.02586342843204914,noise
2019-03-31,2019-02,2019-03,1.775464996602416,1.8831863513063984,0.2566034614702284,0.36432481617421075,0.0192362410782021,accelerating,accelerating,True,0.2566034614702284,noise
