horizon,bucket,n,hit_own,hit_bbk,hit_gdp_q,avg_conviction_pp
1,ALL,367,0.8497267759562842,0.5879120879120879,0.5439560439560439,0.27450580635563177
1,toss-up (<0.05pp),48,0.6458333333333334,0.5416666666666666,0.4791666666666667,0.026928934597304315
1,lean (0.05-0.15pp),107,0.7075471698113207,0.5283018867924528,0.5094339622641509,0.09392199099428104
1,call (0.15-0.30pp),108,0.9351851851851852,0.5700934579439252,0.4672897196261682,0.2184553230486507
1,strong (>0.30pp),104,1.0,0.6893203883495146,0.6893203883495146,0.6327712898673453
2,ALL,366,0.7933884297520661,0.554016620498615,0.5401662049861495,0.24279266109946063
2,toss-up (<0.05pp),63,0.5396825396825397,0.4444444444444444,0.5079365079365079,0.023217619346831562
2,lean (0.05-0.15pp),100,0.6494845360824743,0.5360824742268041,0.5463917525773195,0.09847003922724663
2,call (0.15-0.30pp),108,0.8888888888888888,0.5833333333333334,0.48148148148148145,0.2106396523524944
2,strong (>0.30pp),95,1.0,0.6129032258064516,0.6236559139784946,0.5768770270185068
3,ALL,366,0.814404432132964,0.5571030640668524,0.5125348189415042,0.27047893135318934
3,toss-up (<0.05pp),70,0.5588235294117647,0.39705882352941174,0.4117647058823529,0.023116068432413237
3,lean (0.05-0.15pp),90,0.7727272727272727,0.6363636363636364,0.5795454545454546,0.09617538164389779
3,call (0.15-0.30pp),99,0.826530612244898,0.5408163265306123,0.42857142857142855,0.21052887954678326
3,strong (>0.30pp),107,1.0,0.6095238095238096,0.6,0.6343833706721125
