horizon,n,mae_growth_yoy_pp,mae_inflation_yoy_pp,mae_d_growth_pp,mae_d_inflation_pp
0,114,0.8870104615312493,0.16859273419200607,0.6756344356334305,0.16859273419200607
1,111,1.3831901778581743,0.563259664448689,0.8453036784191152,0.4360071878543395
2,108,1.535385357635772,0.9155287358710021,0.8951126391245251,0.4775182269277579
3,105,1.6232887682224604,1.2707165109363403,0.95522126997542,0.49259030817830013
4,102,1.4511504730433795,1.5206094197191617,1.2333852949108441,0.4957727557434626
