call,horizon,n_calls,call_share,hit,hit_ex_covid
growth_yoy,0,114,1.0,0.6491228070175439,0.6354166666666666
growth_yoy,1,111,1.0,0.6216216216216216,0.6129032258064516
growth_yoy,2,108,1.0,0.6111111111111112,0.6
growth_yoy,3,105,1.0,0.6571428571428571,0.6551724137931034
growth_yoy,4,102,1.0,0.5490196078431373,0.5119047619047619
growth_qoq,0,114,1.0,0.6578947368421053,0.71875
growth_qoq,1,111,1.0,0.5675675675675675,0.5483870967741935
growth_qoq,2,0,0.0,,
growth_qoq,3,0,0.0,,
growth_qoq,4,0,0.0,,
inflation_yoy,0,116,1.0,0.8706896551724138,0.8571428571428571
inflation_yoy,1,114,1.0,0.7105263157894737,0.6875
inflation_yoy,2,111,1.0,0.6846846846846847,0.6559139784946236
inflation_yoy,3,108,1.0,0.6481481481481481,0.6111111111111112
inflation_yoy,4,105,1.0,0.638095238095238,0.6206896551724138
inflation_qoq,0,116,1.0,0.8620689655172413,0.8469387755102041
inflation_qoq,1,114,1.0,0.6666666666666666,0.65625
inflation_qoq,2,111,1.0,0.5495495495495496,0.5591397849462365
inflation_qoq,3,108,1.0,0.5277777777777778,0.5777777777777777
inflation_qoq,4,105,1.0,0.5047619047619047,0.5632183908045977
