,quad,close,growth_yoy,inflation_yoy
2008-02,4,False,0.7247279163022702,4.142959270611968
2008-03,4,False,0.6000466606402632,3.9749035501344343
2008-04,4,False,0.3485731827446825,3.9037609759888126
2008-05,3,False,0.14241455527006508,4.088413823123993
2008-06,3,False,-0.11161222101438995,4.935966105947864
2008-07,3,False,-0.7357426001049605,5.497512078341837
2008-08,4,False,-1.3091631261391345,5.308017162091239
2008-09,4,False,-2.645092988890796,4.953319875136075
2008-10,4,False,-2.790870679954782,3.7310578899565128
2008-11,4,False,-3.6555530731728125,1.0999174706166848
2008-12,4,False,-4.455310509089239,-0.02222800255385904
2009-01,4,False,-4.615954285957469,-0.11358601902212717
2009-02,3,False,-4.857108508842245,0.008463140671510772
2009-03,4,False,-5.706454927449201,-0.4464787676623838
2009-04,4,False,-5.8093571928697685,-0.5763244243767063
2009-05,4,False,-5.867437273645315,-1.015761495855172
2009-06,1,False,-5.674153880609866,-1.2291746182109153
2009-07,1,False,-4.88454683945041,-1.9587610037622771
2009-08,2,False,-3.888304994542202,-1.4838355663267633
2009-09,2,False,-3.2883682044346774,-1.377942862886472
2009-10,2,False,-3.003838987724894,-0.22396829420033848
2009-11,2,False,-2.287782566251717,1.9145871744709275
2009-12,2,False,-0.9084496466756353,2.8141231232083674
2010-01,1,False,-0.6327837641572853,2.6211113889767157
2010-02,1,False,0.1874640592133936,2.151336357866529
2010-03,2,False,1.7036114131066649,2.2861714393279886
2010-04,1,False,2.340648145651758,2.2067707525304403
2010-05,1,False,2.844205250735876,2.003548929218568
2010-06,1,False,3.0863189455577755,1.1215605940686268
2010-07,3,False,2.998402781018572,1.3407784804821077
2010-08,4,False,2.4607969533472662,1.1501775395112546
2010-09,1,True,3.3319191669345827,1.1183122472331775
2010-10,2,True,3.413947646857718,1.1666951489314625
2010-11,1,False,3.5523598242570786,1.084544776600338
2010-12,3,False,3.469235716418506,1.437793022217937
2011-01,2,False,3.5958817844287783,1.7007834915029774
2011-02,3,False,3.448470817981586,2.124898173333145
2011-03,3,False,3.127909799849049,2.619241510354109
2011-04,3,False,2.649279444602337,3.0772344447868694
2011-05,3,False,2.13474213020175,3.4589718808964998
2011-06,2,True,2.3145518276512345,3.5023181506360412
2011-07,3,True,2.27849284775965,3.5798809769996165
2011-08,3,False,2.0650064498395793,3.75499603070808
2011-09,2,True,2.066569249696437,3.812621692818685
2011-10,1,False,2.153095479918399,3.5222681306640524
2011-11,4,False,1.8199444349061178,3.451432214581729
2011-12,4,False,1.692454925667275,3.062066838419386
2012-01,1,False,1.9941502959321955,3.0087663379855023
2012-02,1,False,2.50134649890712,2.8981784423473878
2012-03,4,False,2.0243656644018726,2.5828752813320977
2012-04,1,False,2.2110331026599983,2.2731633741348567
2012-05,1,False,2.306259818586165,1.7379429374660749
2012-06,4,False,1.8807697787620814,1.653870448297634
2012-07,4,False,1.7744959890252154,1.4175114798464783
2012-08,3,True,1.7573096336873428,1.6859349154821235
2012-09,3,True,1.7509075708744382,1.9497168982819613
2012-10,3,False,1.5637197804805103,2.1556780595369363
2012-11,1,False,2.2167226480774405,1.7960197033926262
2012-12,1,True,2.411843553396764,1.7595049796895523
2013-01,4,False,1.5890162351985593,1.684061762098299
2013-02,3,False,1.170654579318442,2.0181404902574807
2013-03,1,False,1.3929871290827567,1.5187472411246183
2013-04,4,False,1.285729787376666,1.138808047576867
2013-05,2,False,1.5610063665536078,1.3903888279197085
2013-06,2,False,1.7440601805287725,1.7157935271568725
2013-07,3,False,1.6293093620852739,1.885471805415806
2013-08,1,False,1.820188084236718,1.538809488600279
2013-09,1,False,1.9055310006441895,1.0947341081747997
2013-10,1,False,1.9626468062750257,0.8767991434911471
2013-11,3,False,1.749395885100835,1.2328701961954458
2013-12,3,False,1.4576052034230846,1.5128383667573297
2014-01,2,True,1.506861495479428,1.557758795574915
2014-02,1,False,1.8779043348060798,1.1204746347724948
2014-03,2,False,2.434469507871695,1.6126949139408042
2014-04,2,False,2.663771342504062,2.015125303606169
2014-05,3,False,2.5866169160282837,2.166947687079812
2014-06,1,False,2.8423208333922645,2.0589816945944195
2014-07,1,False,3.032923438045998,1.9742378703305974
2014-08,1,False,3.360821624039878,1.7150983482969062
2014-09,4,True,3.134050315130854,1.6840509711232077
2014-10,1,False,3.4679801142087685,1.6095417021513292
2014-11,1,True,3.5082387241106128,1.231524989320798
2014-12,1,False,3.5726660746176586,0.6531213919623191
2015-01,1,False,3.95326209951532,-0.22993097820542818
2015-02,3,False,3.4864567675353397,-0.08703146293520536
2015-03,3,False,2.9802154914241763,-0.022031284423873476
2015-04,4,False,2.815231768947113,-0.10403098939391064
2015-05,3,True,2.7956337567122125,0.03503321824429584
2015-06,3,False,2.4556497007274247,0.1795718097550525
2015-07,2,True,2.702619066893419,0.22568611104094582
2015-08,3,True,2.313691514888472,0.2413037985344868
2015-09,4,False,2.230082984803472,0.008842961634170088
2015-10,3,False,1.7014631123533963,0.12761656067050708
2015-11,3,False,1.3502355387822185,0.4363182169185187
2015-12,2,True,1.362057957776619,0.6387247515364791
2016-01,2,False,1.4290686157764076,1.2375025026943876
2016-02,1,False,1.7005310730622725,0.8472775790126619
2016-03,3,True,1.1484383088939065,0.8916160965521946
2016-04,2,False,1.2833629488529397,1.1726257503534843
2016-05,4,False,1.1475477450015426,1.0784764621246223
2016-06,2,True,1.5950434503691602,1.0792865347959424
2016-07,4,False,1.3645725991301205,0.8683633430518256
2016-08,3,False,1.2073494192123668,1.0553158595656864
2016-09,2,False,1.48910880158164,1.5486446201652182
2016-10,2,True,1.5036623802698657,1.685924966243646
2016-11,1,True,1.552623640779105,1.6843334719788938
2016-12,2,False,1.9830338466825026,2.0507989115119862
2017-01,3,False,1.9265998386914784,2.5103933482571117
2017-02,3,False,1.5581589639339422,2.8103616813294208
2017-03,1,False,2.313796892145703,2.44119623655914
2017-04,1,False,2.371709607801953,2.176223471915395
2017-05,1,True,2.4086519573365273,1.8563431667619756
2017-06,4,False,2.251990290843464,1.640565809959127
2017-07,3,False,2.18137184628151,1.7251073506566073
2017-08,3,True,2.1524697832552953,1.92812155729698
2017-09,2,False,2.4117778468593976,2.1805652303711787
2017-10,1,False,2.7168601935175785,2.020757753132485
2017-11,2,False,3.1680892868525046,2.172493864295566
2017-12,4,True,3.0578142713433953,2.129930719552253
2018-01,3,True,2.7611999174432356,2.151318868063945
2018-02,2,False,2.9568225342336607,2.263468931091861
2018-03,3,False,2.843785331333848,2.3309497646499366
2018-04,3,False,2.7888811579796835,2.4709963021052994
2018-05,2,False,2.9227855748594544,2.781921607842497
2018-06,3,True,2.831626690384881,2.8075506935940187
2018-07,2,True,2.9367567862243593,2.854124785561929
2018-08,1,False,3.2522766547647297,2.6429238568742575
2018-09,4,False,2.5508344775910574,2.332055105808828
2018-10,3,True,2.534058975965192,2.492032470218053
2018-11,4,False,2.394952052043875,2.147328577667773
2018-12,4,False,1.3491809342770944,2.0023809043401064
2019-01,1,False,1.6416594436517107,1.4875893578291333
2019-02,3,True,1.4135046233319404,1.5188615351321877
2019-03,2,False,1.711672156619537,1.8831863513063984
2019-04,3,False,1.3555518468715055,2.000583470209061
2019-05,1,False,1.4617556410214894,1.7959105553606136
2019-06,1,False,1.5119516020555057,1.671194894390049
2019-07,3,True,1.5045231988243035,1.826331335037068
2019-08,1,False,1.6870530891448965,1.7376412106666406
2019-09,1,False,1.8543590038902602,1.6844977040391562
2019-10,3,True,1.4791040457108773,1.7339736996186295
2019-11,2,False,1.556810714813639,2.092290394862917
