,quad_hit_h0,quad_hit_mean,growth_dir_h0,growth_dir_h1plus,growth_dir_mean,mae_growth_yoy_h0,mae_growth_yoy_mean
momentum nowcast + glide (original),0.5877192982456141,0.43007067217593536,0.6578947368421053,0.610982410982411,0.6203648761543499,1.3784152756924994,1.806846978351619
fitted nowcast + glide,0.6403508771929824,0.43840950636616266,0.7192982456140351,0.6323604066251125,0.6497479744228969,0.887419868052863,1.5672542101751485
"fitted nowcast + static trend, flat",0.6403508771929824,0.4314022470059622,0.7192982456140351,0.5912859287859288,0.61688839215155,0.887419868052863,1.431486976380263
"fitted nowcast + fitted trend, flat",0.6403508771929824,0.4383094062660626,0.7192982456140351,0.6414319781966841,0.6570052316801542,0.887419868052863,1.3761641023794637
fitted nowcast + fitted trend + rate channel,0.6403508771929824,0.3998623878190442,0.7192982456140351,0.5817144875968405,0.6092312392002794,0.887419868052863,1.4457236859477471
fitted nowcast + potential pace + rate channel (shipped),0.6403508771929824,0.4029802115251032,0.7192982456140351,0.5602042168218639,0.5920230225802982,0.887419868052863,1.4811012962251389
fitted nowcast carried forward + rate channel,0.6403508771929824,0.4062811595319335,0.7192982456140351,0.5593772343772343,0.5913614366245945,0.887419868052863,2.381489199021298
fitted nowcast gliding to potential + rate channel,0.6403508771929824,0.3880538565987482,0.7192982456140351,0.5414837106013576,0.5770466176038932,0.887419868052863,1.6719007845281724
