,quad,close
1996Q2,2,True
1996Q3,2,True
1996Q4,2,False
1997Q1,4,False
1997Q2,4,True
1997Q3,1,True
1997Q4,4,False
1998Q1,1,False
1998Q2,3,False
1998Q3,2,True
1998Q4,1,True
1999Q1,3,True
1999Q2,3,True
1999Q3,2,True
1999Q4,2,True
2000Q1,3,False
2000Q2,2,True
2000Q3,3,False
2000Q4,4,True
2001Q1,4,True
2001Q2,4,True
2001Q3,4,False
2001Q4,4,False
2002Q1,1,False
2002Q2,3,True
2002Q3,2,False
2002Q4,3,False
2003Q1,3,False
2003Q2,1,False
2003Q3,2,False
2003Q4,1,False
2004Q1,1,True
2004Q2,3,False
2004Q3,4,False
2004Q4,3,False
2005Q1,1,False
2005Q2,4,False
2005Q3,3,False
2005Q4,4,False
2006Q1,2,True
2006Q2,3,False
2006Q3,4,False
2006Q4,1,False
2007Q1,3,False
2007Q2,2,False
2007Q3,1,False
2007Q4,3,False
2008Q1,3,False
2008Q2,3,True
2008Q3,3,False
2008Q4,4,False
2009Q1,4,False
2009Q2,4,False
2009Q3,1,False
2009Q4,2,False
2010Q1,2,False
2010Q2,1,False
2010Q3,1,False
2010Q4,3,True
2011Q1,3,False
2011Q2,3,False
2011Q3,3,False
2011Q4,1,False
2012Q1,1,False
2012Q2,4,False
2012Q3,1,False
2012Q4,3,False
2013Q1,1,False
2013Q2,4,False
2013Q3,2,True
2013Q4,1,False
2014Q1,3,False
2014Q2,2,False
2014Q3,1,False
2014Q4,4,False
2015Q1,1,False
2015Q2,3,False
2015Q3,3,False
2015Q4,3,False
2016Q1,3,False
2016Q2,3,False
2016Q3,2,True
2016Q4,2,False
2017Q1,3,True
2017Q2,1,False
2017Q3,2,True
2017Q4,2,False
2018Q1,2,False
2018Q2,3,True
2018Q3,4,True
2018Q4,4,False
2019Q1,4,False
2019Q2,2,False
2019Q3,1,True
2019Q4,2,False
2020Q1,3,True
2020Q2,4,False
2020Q3,2,False
2020Q4,2,True
2021Q1,2,False
2021Q2,2,False
2021Q3,3,False
2021Q4,2,False
2022Q1,3,False
2022Q2,3,False
2022Q3,4,False
2022Q4,4,False
2023Q1,1,False
2023Q2,1,False
2023Q3,1,False
2023Q4,1,False
2024Q1,3,True
2024Q2,1,True
2024Q3,4,False
2024Q4,3,True
2025Q1,3,True
2025Q2,1,True
2025Q3,2,False
2025Q4,4,False
2026Q1,1,True
2026Q2,3,False
