bucket,n,share_of_months,hit_rate,avg_conviction_pp
ALL months,116,1.0,0.896551724137931,0.24889652786321584
coin-flip (<0.05pp),15,0.12931034482758622,0.6666666666666666,0.02406458823652387
lean (0.05-0.15pp),31,0.2672413793103448,0.9032258064516129,0.09599010220230818
call (0.15-0.30pp),38,0.3275862068965517,0.8947368421052632,0.22444646752620123
high conviction (>0.30pp),32,0.27586206896551724,1.0,0.5314490460724367
callable (>=0.05pp),101,0.8706896551724138,0.9306930693069307,0.28228740998599183
