h_months,n,mae_yoy,rmse_yoy,bias_yoy,mae_yoy_nsa,mae_mom,mae_yoy_random_walk,mae_yoy_seasonal_naive,skill_vs_random_walk,skill_vs_seasonal_naive
1,116,0.13067230358655998,0.19035453034172492,-0.03704552031201145,0.13395749796361942,0.12573348580411772,0.2948246006544066,0.20452291862395686,0.556779511287343,0.36108723430248546
3,114,0.4509378582442141,0.6483371685022098,-0.1447276373521197,0.45168968376429736,0.20946132246172136,0.6668753082602217,0.5071351842771581,0.32380483628844525,0.11081330535771139
6,111,0.7945291533605087,1.2046648104718658,-0.34351957557076435,0.7992277005497459,0.21061541893004734,1.0347856610596473,0.8681253660155688,0.23217997382483035,0.08477601915129418
12,105,1.4948292284426479,2.2814657746635474,-0.7429362653148103,1.5046916806773842,0.21207798750745868,1.751239787910192,1.751696930090126,0.14641659082764824,0.14663935138269724
