asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-03-31,2017Q1,0,2017Q1,growth_qoq,call,True,-0.2605984788479458,-0.06740890270671152,decelerating,decelerating,1.0,0.2605984788479458,False,False
2017-03-31,2017Q1,0,2017Q1,inflation_yoy,call,True,0.8062916402390654,0.7802979721370489,accelerating,accelerating,1.0,0.8062916402390654,False,False
2017-03-31,2017Q1,0,2017Q1,inflation_qoq,call,True,0.09451647282137099,0.06895808175360063,accelerating,accelerating,1.0,0.09451647282137099,False,False
2017-03-31,2017Q1,1,2017Q2,growth_yoy,call,True,-0.18725103574792623,0.2429520995615997,decelerating,accelerating,0.0,0.18725103574792623,False,False
2017-03-31,2017Q1,1,2017Q2,growth_qoq,lean,True,0.5950597883852327,0.07298235226935734,accelerating,accelerating,1.0,0.5950597883852327,False,False
2017-03-31,2017Q1,1,2017Q2,inflation_yoy,call,True,-0.30235589215859004,-0.6962729391697249,decelerating,decelerating,1.0,0.30235589215859004,False,False
2017-03-31,2017Q1,1,2017Q2,inflation_qoq,call,True,-0.22646137740285344,-0.5883637843055789,decelerating,decelerating,1.0,0.22646137740285344,False,False
2017-03-31,2017Q1,2,2017Q3,growth_yoy,call,True,-0.7317297018993418,0.08040761841630051,decelerating,accelerating,0.0,0.7317297018993418,False,False
2017-03-31,2017Q1,2,2017Q3,growth_qoq,abstain,False,,0.22865156824358746,no call,accelerating,,,False,False
2017-03-31,2017Q1,2,2017Q3,inflation_yoy,call,True,0.2168990262708963,0.053553896562756,accelerating,accelerating,1.0,0.2168990262708963,False,False
2017-03-31,2017Q1,2,2017Q3,inflation_qoq,call,True,0.1345858906830033,0.3626667512592441,accelerating,accelerating,1.0,0.1345858906830033,False,False
2017-03-31,2017Q1,3,2017Q4,growth_yoy,call,True,-0.8185390769745782,0.5833220845871789,decelerating,accelerating,0.0,0.8185390769745782,False,False
