asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-02-28,2017Q1,4,2018Q1,growth_yoy,call,True,-0.20145015198784755,0.3346665979973462,decelerating,accelerating,0.0,0.20145015198784755,False,False
2017-02-28,2017Q1,4,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-02-28,2017Q1,4,2018Q1,inflation_yoy,call,True,-0.25515501150292774,0.1408517422751463,decelerating,accelerating,0.0,0.25515501150292774,False,False
2017-02-28,2017Q1,4,2018Q1,inflation_qoq,call,True,-0.006098283323985321,0.047111037814961954,decelerating,accelerating,0.0,0.006098283323985321,False,False
2017-03-31,2017Q1,0,2017Q1,growth_yoy,call,True,0.16640598566000087,-0.09410460885972416,accelerating,decelerating,0.0,0.16640598566000087,False,False
2017-03-31,2017Q1,0,2017Q1,growth_qoq,call,True,-0.02749834423588654,-0.06740890270671152,decelerating,decelerating,1.0,0.02749834423588654,False,False
2017-03-31,2017Q1,0,2017Q1,inflation_yoy,call,True,0.8405493396111077,0.7802979721370489,accelerating,accelerating,1.0,0.8405493396111077,False,False
2017-03-31,2017Q1,0,2017Q1,inflation_qoq,call,True,0.12820050980282272,0.06895808175360063,accelerating,accelerating,1.0,0.12820050980282272,False,False
2017-03-31,2017Q1,1,2017Q2,growth_yoy,call,True,0.25075093751989463,0.2429520995615997,accelerating,accelerating,1.0,0.25075093751989463,False,False
2017-03-31,2017Q1,1,2017Q2,growth_qoq,lean,True,-0.01261014664827309,0.07298235226935734,decelerating,accelerating,0.0,0.01261014664827309,False,False
2017-03-31,2017Q1,1,2017Q2,inflation_yoy,call,True,-0.2721317777518646,-0.6962729391697249,decelerating,decelerating,1.0,0.2721317777518646,False,False
2017-03-31,2017Q1,1,2017Q2,inflation_qoq,call,True,-0.23042151566785574,-0.5883637843055789,decelerating,decelerating,1.0,0.23042151566785574,False,False
2017-03-31,2017Q1,2,2017Q3,growth_yoy,call,True,-0.14515397426140275,0.08040761841630051,decelerating,accelerating,0.0,0.14515397426140275,False,False
2017-03-31,2017Q1,2,2017Q3,growth_qoq,abstain,False,,0.22865156824358746,no call,accelerating,,,False,False
2017-03-31,2017Q1,2,2017Q3,inflation_yoy,call,True,0.21689621399373005,0.053553896562756,accelerating,accelerating,1.0,0.21689621399373005,False,False
2017-03-31,2017Q1,2,2017Q3,inflation_qoq,call,True,0.10472523276441326,0.3626667512592441,accelerating,accelerating,1.0,0.10472523276441326,False,False
2017-03-31,2017Q1,3,2017Q4,growth_yoy,call,True,0.01284832716557105,0.5833220845871789,accelerating,accelerating,1.0,0.01284832716557105,False,False
2017-03-31,2017Q1,3,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-03-31,2017Q1,3,2017Q4,inflation_yoy,call,True,-0.018980365202366567,0.16312939955184613,decelerating,accelerating,0.0,0.018980365202366567,False,False
2017-03-31,2017Q1,3,2017Q4,inflation_qoq,call,True,-0.021086722485463838,0.3174870925466866,decelerating,accelerating,0.0,0.021086722485463838,False,False
2017-03-31,2017Q1,4,2018Q1,growth_yoy,call,True,-0.17942439305684843,0.3346665979973462,decelerating,accelerating,0.0,0.17942439305684843,False,False
2017-03-31,2017Q1,4,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-03-31,2017Q1,4,2018Q1,inflation_yoy,call,True,-0.15140206911876675,0.1408517422751463,decelerating,accelerating,0.0,0.15140206911876675,False,False
2017-03-31,2017Q1,4,2018Q1,inflation_qoq,call,True,-0.001896221671437992,0.047111037814961954,decelerating,accelerating,0.0,0.001896221671437992,False,False
2017-04-30,2017Q2,0,2017Q2,growth_yoy,call,True,0.3284556462394228,0.2429520995615997,accelerating,accelerating,1.0,0.3284556462394228,False,False
2017-04-30,2017Q2,0,2017Q2,growth_qoq,split,True,-0.09029739670992712,0.07298235226935734,decelerating,accelerating,0.0,0.09029739670992712,False,False
2017-04-30,2017Q2,0,2017Q2,inflation_yoy,call,True,-0.2999385263814971,-0.6962729391697249,decelerating,decelerating,1.0,0.2999385263814971,False,False
2017-04-30,2017Q2,0,2017Q2,inflation_qoq,call,True,-0.198542701122828,-0.5883637843055789,decelerating,decelerating,1.0,0.198542701122828,False,False
2017-04-30,2017Q2,1,2017Q3,growth_yoy,call,True,-0.1448953453037749,0.08040761841630051,decelerating,accelerating,0.0,0.1448953453037749,False,False
2017-04-30,2017Q2,1,2017Q3,growth_qoq,lean,True,-0.0800190493549846,0.22865156824358746,decelerating,accelerating,0.0,0.0800190493549846,False,False
2017-04-30,2017Q2,1,2017Q3,inflation_yoy,call,True,0.23233751702855798,0.053553896562756,accelerating,accelerating,1.0,0.23233751702855798,False,False
2017-04-30,2017Q2,1,2017Q3,inflation_qoq,call,True,0.14741871580159494,0.3626667512592441,accelerating,accelerating,1.0,0.14741871580159494,False,False
2017-04-30,2017Q2,2,2017Q4,growth_yoy,call,True,0.012825434582164341,0.5833220845871789,accelerating,accelerating,1.0,0.012825434582164341,False,False
2017-04-30,2017Q2,2,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-04-30,2017Q2,2,2017Q4,inflation_yoy,call,True,-0.007402257768984732,0.16312939955184613,decelerating,accelerating,0.0,0.007402257768984732,False,False
2017-04-30,2017Q2,2,2017Q4,inflation_qoq,call,True,-0.02506482145845368,0.3174870925466866,decelerating,accelerating,0.0,0.02506482145845368,False,False
2017-04-30,2017Q2,3,2018Q1,growth_yoy,call,True,0.08144999032795308,0.3346665979973462,accelerating,accelerating,1.0,0.08144999032795308,False,False
2017-04-30,2017Q2,3,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-04-30,2017Q2,3,2018Q1,inflation_yoy,call,True,-0.07592759086452183,0.1408517422751463,decelerating,accelerating,0.0,0.07592759086452183,False,False
2017-04-30,2017Q2,3,2018Q1,inflation_qoq,call,True,0.0016210298553254177,0.047111037814961954,accelerating,accelerating,1.0,0.0016210298553254177,False,False
2017-04-30,2017Q2,4,2018Q2,growth_yoy,call,True,-0.0783042339588258,-0.029847248237091506,decelerating,decelerating,1.0,0.0783042339588258,False,False
2017-04-30,2017Q2,4,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-04-30,2017Q2,4,2018Q2,inflation_yoy,call,True,0.15840205078462644,0.4382436799120235,accelerating,accelerating,1.0,0.15840205078462644,False,False
2017-04-30,2017Q2,4,2018Q2,inflation_qoq,call,True,0.031400261521929984,-0.2982312149923949,accelerating,decelerating,0.0,0.031400261521929984,False,False
2017-05-31,2017Q2,0,2017Q2,growth_yoy,call,True,0.4993273736948689,0.2429520995615997,accelerating,accelerating,1.0,0.4993273736948689,False,False
2017-05-31,2017Q2,0,2017Q2,growth_qoq,split,True,-0.09029739670992712,0.07298235226935734,decelerating,accelerating,0.0,0.09029739670992712,False,False
2017-05-31,2017Q2,0,2017Q2,inflation_yoy,call,True,-0.48924061873318125,-0.6962729391697249,decelerating,decelerating,1.0,0.48924061873318125,False,False
2017-05-31,2017Q2,0,2017Q2,inflation_qoq,call,True,-0.3846252265977679,-0.5883637843055789,decelerating,decelerating,1.0,0.3846252265977679,False,False
2017-05-31,2017Q2,1,2017Q3,growth_yoy,call,True,-0.14513709012815568,0.08040761841630051,decelerating,accelerating,0.0,0.14513709012815568,False,False
2017-05-31,2017Q2,1,2017Q3,growth_qoq,lean,True,-0.0800190493549846,0.22865156824358746,decelerating,accelerating,0.0,0.0800190493549846,False,False
2017-05-31,2017Q2,1,2017Q3,inflation_yoy,call,True,0.19241780671962072,0.053553896562756,accelerating,accelerating,1.0,0.19241780671962072,False,False
2017-05-31,2017Q2,1,2017Q3,inflation_qoq,call,True,0.2947379538891237,0.3626667512592441,accelerating,accelerating,1.0,0.2947379538891237,False,False
2017-05-31,2017Q2,2,2017Q4,growth_yoy,call,True,0.012846832663848673,0.5833220845871789,accelerating,accelerating,1.0,0.012846832663848673,False,False
2017-05-31,2017Q2,2,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-05-31,2017Q2,2,2017Q4,inflation_yoy,call,True,-0.006674662241749285,0.16312939955184613,decelerating,accelerating,0.0,0.006674662241749285,False,False
2017-05-31,2017Q2,2,2017Q4,inflation_qoq,call,True,0.014398315604902123,0.3174870925466866,accelerating,accelerating,1.0,0.014398315604902123,False,False
2017-05-31,2017Q2,3,2018Q1,growth_yoy,call,True,0.08158588229580932,0.3346665979973462,accelerating,accelerating,1.0,0.08158588229580932,False,False
