grade,n,share,hit,hit_ex_covid
call,78,0.3466666666666667,0.7307692307692307,0.8095238095238095
lean,111,0.49333333333333335,0.5135135135135135,0.5161290322580645
split,36,0.16,0.6666666666666666,0.6363636363636364
